Unnamed: 0,combine_year,POS,HEIGHT,WEIGHT,BMI,BODY.FAT,STANDING.REACH,WINGSPAN,HAND.LENGTH,HAND.WIDTH,STANDING.VERTICAL,MAX.VERTICAL,LANE.AGILITY,SHUTTLE.RUN,THREE.QUARTER.SPRINT,BENCH.PRESS,WINGSPAN.HEIGHT.RATIO,STANDING.TOUCH,MAX.TOUCH,Name,above_max_vert_mean
170,2019,PF,79.75,208.4,23.04,3.6,107.0,84.0,9.0,9.8,30.5,37.0,11.09,2.95,3.27,4.0,1.053,137.5,144.0,Darius Bazley,1
172,2019,SG,73.5,179.0,23.29,5.0,95.0,75.25,7.5,9.3,36.0,42.5,9.97,2.78,3.08,7.0,1.024,131.0,137.5,Jordan Bone,1
173,2019,SF,78.25,200.0,22.96,6.5,103.0,82.0,8.5,9.8,32.0,35.5,10.98,3.21,3.26,1.0,1.048,135.0,138.5,Brian Bowen II,0
174,2019,PG,73.0,181.2,23.9,4.9,98.0,79.0,8.25,9.0,27.5,33.0,11.11,3.11,3.26,4.0,1.082,125.5,131.0,Ky Bowman,0
175,2019,SF,77.75,220.8,25.68,6.0,102.0,81.25,8.75,9.5,31.0,36.5,11.06,3.17,3.36,13.0,1.045,133.0,138.5,Ignas Brazdeikis,1
176,2019,SF/PF,79.0,203.2,22.89,2.9,104.0,84.0,9.0,9.5,34.0,37.5,11.3,3.18,3.48,11.0,1.063,138.0,141.5,O'Shae Brissett,1
178,2019,SF,79.25,207.2,23.19,4.9,102.0,80.25,8.25,9.5,34.0,40.5,10.61,3.05,3.15,10.0,1.013,136.0,142.5,Brandon Clarke,1
179,2019,C,82.0,216.6,22.65,4.5,110.0,86.5,9.25,9.5,31.5,36.5,11.26,3.47,3.36,8.0,1.055,141.5,146.5,Nicolas Claxton,1
180,2019,PF,79.25,245.4,27.47,6.1,106.5,84.5,9.5,10.8,27.5,32.0,11.32,3.1,3.28,11.0,1.066,134.0,138.5,Tyler Cook,0
182,2019,SG,75.0,192.4,24.05,4.1,101.0,80.75,9.25,10.8,29.5,34.0,10.69,2.96,3.28,13.0,1.077,130.5,135.0,Terence Davis,0
183,2019,PG,74.75,222.2,27.96,5.0,99.5,80.5,8.5,9.0,32.5,38.0,10.79,3.13,3.22,14.0,1.077,132.0,137.5,Luguentz Dort,1
184,2019,PG,70.75,199.4,28.0,5.5,94.5,78.0,8.75,9.0,28.5,34.0,10.53,2.82,3.22,14.0,1.102,123.0,128.5,Carsen Edwards,0
185,2019,C,89.25,288.8,25.49,6.8,122.5,98.25,10.5,10.5,22.0,26.5,13.01,3.46,3.78,8.0,1.101,144.5,149.0,Tacko Fall,0
186,2019,C,80.75,237.0,25.55,5.4,110.0,87.25,9.25,10.0,29.5,33.5,11.29,3.05,3.21,13.0,1.08,139.5,143.5,Bruno Fernando,0
187,2019,PF,81.25,237.6,25.3,5.9,110.0,86.25,9.25,9.3,32.5,36.5,11.61,3.19,3.25,5.0,1.062,142.5,146.5,Daniel Gafford,1
188,2019,SG,72.75,167.8,22.29,5.7,95.5,76.5,8.0,8.8,30.5,36.5,10.48,3.07,3.27,4.0,1.052,126.0,132.0,Kyle Guy,1
189,2019,PG,73.5,180.4,23.48,5.1,97.0,77.5,8.0,8.3,33.0,41.5,10.73,3.03,3.12,6.0,1.054,130.0,138.5,Jaylen Hands,1
190,2019,PG,69.75,169.2,24.45,3.9,94.0,77.5,8.25,9.5,33.5,40.5,10.77,3.02,3.04,8.0,1.111,127.5,134.5,Jared Harper,1
191,2019,PF,82.25,218.6,22.72,5.0,110.5,87.5,9.25,10.5,27.0,34.5,11.74,3.23,3.37,5.0,1.064,137.5,145.0,Jaxson Hayes,0
192,2019,C,81.0,232.8,24.94,6.1,107.0,85.75,9.5,10.3,30.5,35.5,11.46,3.25,3.28,13.0,1.059,137.5,142.5,Dewan Hernandez,0
194,2019,PF,79.25,212.6,23.8,6.7,105.5,84.75,8.75,9.8,27.5,35.5,11.44,3.32,3.34,8.0,1.069,133.0,141.0,Jalen Hoard,0
195,2019,SG,74.5,235.4,29.82,8.4,103.0,85.25,9.5,9.8,26.0,34.5,11.34,3.43,3.34,10.0,1.144,129.0,137.5,Talen Horton-Tucker,0
197,2019,PG,76.25,194.4,23.51,6.5,98.0,76.0,8.25,9.5,26.0,31.5,11.21,3.12,3.4,2.0,0.997,124.0,129.5,Ty Jerome,0
200,2019,PF,80.75,256.2,27.62,5.1,109.5,87.0,9.25,10.8,28.0,35.5,11.21,3.3,3.25,6.0,1.077,137.5,145.0,Mfiondu Kabengele,0
201,2019,SF,78.75,195.2,22.13,4.8,104.5,84.25,8.0,8.5,29.0,33.0,10.99,3.05,3.28,0.0,1.07,133.5,137.5,Louis King,0
203,2019,PF,79.0,233.0,26.25,8.9,107.5,86.25,9.75,9.8,23.5,26.0,11.8,3.54,3.6,10.0,1.092,131.0,133.5,Dedric Lawson,0
204,2019,PG,74.5,185.2,23.46,4.0,98.5,80.5,8.75,8.5,35.0,43.0,11.09,3.3,3.29,1.0,1.081,133.5,141.5,Jalen Lecque,1
205,2019,SF,76.5,224.2,26.93,5.9,104.5,85.25,8.75,10.0,31.0,38.5,12.15,3.1,3.24,5.0,1.114,135.5,143.0,Nassir Little,1
