"","Season","Name","Team","Position","Started","Games","FantasyPoints","Minutes","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","OffensiveReboundsPercentage","DefensiveReboundsPercentage","TotalReboundsPercentage","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlayerEfficiencyRating","AssistsPercentage","StealsPercentage","BlocksPercentage","TurnOversPercentage","UsageRatePercentage","PlusMinus","DoubleDoubles","TripleDoubles","combine_year","POS","HEIGHT","WEIGHT","BMI","BODY.FAT","STANDING.REACH","WINGSPAN","HAND.LENGTH","HAND.WIDTH","STANDING.VERTICAL","MAX.VERTICAL","LANE.AGILITY","SHUTTLE.RUN","THREE.QUARTER.SPRINT","BENCH.PRESS","WINGSPAN.HEIGHT.RATIO","STANDING.TOUCH","MAX.TOUCH"
"1",2009,"Richard Jefferson","MIL","SF",0,82,1637.5,2048,374.3,851.7,30.6,33.9,293.4,648.2,31.6,80.9,203.5,27.7,290.6,361,56.1,39.7,220.9,260.7,1.1,6.5,3.6,138.7,46,6.8,115,175.6,1120.1,1010.6,38.6,11.3,5.7,0.6,0.2,5,17.3,0,1,0,2001,"SF",79.25,223,24.96,6.7,103,84,NA,NA,33,38.5,11.19,NA,3.15,14,1.06,136,141.5
"2",2009,"Francisco Garcia","SAC","SF",0,65,1040.3,1377,205.6,463.5,30.9,35.5,144.3,309.5,32.5,61.3,154,27.7,101.8,124.1,57.2,39,112.9,151.9,1.6,4.7,3.1,104.6,55.8,46.7,78.1,136.6,574.3,518.1,38.6,10.2,6.1,1,1.2,6.4,13.6,0,0,0,2005,"SG/SF",77.75,189.6,22.05,NA,103,82.75,NA,NA,27.5,31.5,10.63,NA,3.33,5,1.064,130.5,134.5
"3",2009,"Udonis Haslem","MIA","PF",0,75,1196.8,1784,232.1,448.2,36.1,36.1,232.1,448.2,36.1,0,0,0,89.2,118.5,52.5,117.8,313,430.7,3.8,14.7,10.1,59.2,30,17.4,57.2,142.2,553.4,500.3,38.5,6.3,2.6,0.4,0.4,5,10.3,0,13.9,0,2002,"PF",79.75,250,27.63,NA,107,83,NA,NA,28.5,33.5,11.8,NA,3.31,22,1.041,135.5,140.5
"4",2009,"Ronny Turiaf","GS","PF",0,79,1035,1181,129.6,255.1,35.4,35.4,129.6,253,35.7,0,1.5,0,68.3,86.4,55.1,61.3,189.6,250.9,2.7,12.2,5.6,115.7,23.7,117.1,48.8,169.4,327.6,293.1,39,11,6.8,0.5,3.3,6.9,6,0,1,0,2005,"PF",80,237.8,26.12,NA,106.5,85.5,NA,NA,30.5,33,11.5,NA,3.23,15,1.069,137,139.5
"5",2009,"Greg Oden","POR","C",0,61,833.8,915,138,244.6,39.3,39.3,138,244.6,39.3,0,0,0,100.4,157.5,44.4,117.8,177.7,295.5,10.9,17,13.9,21.6,17.4,48.1,60.6,165.9,376.4,314,41.8,12.1,1.9,0.5,2,11.3,13.5,0,11.2,0,2007,"C",83,257,26.23,7.8,112,88.25,NA,NA,32,34,11.67,NA,3.27,NA,1.063,144,146
"6",2009,"Ronnie Brewer","UTA","SF",0,81,1370,1815,293.4,577.1,35.4,36.4,278.1,517.9,37.4,15.3,59.2,18.1,172.2,245.3,48.9,70.4,138.7,209.1,2.2,4.4,3.3,124.8,96.2,20.9,76.7,89.2,774.4,685.1,39.4,11.9,5.3,1.3,0.4,4.9,13.2,0,0,0,2006,"PG/SG",77.75,223,25.93,5,103.5,83.25,NA,NA,35,41,11.32,NA,3.14,19,1.071,138.5,144.5
"7",2009,"Ryan Gomes","MIN","PF",0,82,1259.4,1821,292.7,678.9,30,33.9,218.9,480.2,31.8,73.9,198.6,25.9,101.8,126.2,56.2,73.9,199.3,273.2,2.2,6.5,4.3,94.1,43.9,15.3,89.2,127.6,761.1,734.4,36.1,6.2,4.2,0.6,0.3,5.3,14.3,0,1,0,2004,"SF/PF",78.5,248,28.29,NA,106.5,86,NA,NA,26.5,30.5,12.49,NA,3.24,9,1.096,133,137
"8",2009,"Andris Biedrins","GS","C",0,62,1363.4,1299,214.7,371.5,40.3,40.3,214.7,370.8,40.4,0,0.5,0,82.9,150.6,38.4,155.4,327.6,483,6.3,19.1,14.1,84.3,43.9,66.9,76.7,164.5,512.3,437.7,40.8,14.3,4.9,0.8,1.7,10.4,11.8,0,19.5,0,2004,"C",NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2009,"Anthony Randolph","GS","PF",0,63,808.6,787,138.7,300.4,32.2,32.2,138.7,297.6,32.5,0,1.9,0,70.4,98.3,49.9,89.2,163.8,253,6,15.8,12.2,34.2,29.3,51.6,55.8,98.3,347.8,343.6,35.3,12.7,3.3,0.9,2.2,6.8,15.2,0,3.9,0,2008,"SF/PF",81,197,21.11,4.7,109,87,NA,NA,29,35,11.86,NA,3.26,7,1.074,138,144
"10",2009,"Hilton Armstrong","NO","PF",0,70,472.2,761,96.2,171.5,39.1,39.1,96.2,170.1,39.5,0,1,0,43.2,68.3,44.1,56.5,79.5,135.9,4.4,6.1,5.2,20.2,18.1,31.4,55.8,126.2,235.6,201.5,40.8,5.1,2.1,0.6,1.7,15.1,11.4,0,0.5,0,2006,"PF/C",81.5,240,25.4,6.3,109,88,NA,NA,28.5,31.5,12.28,NA,3.53,13,1.08,137.5,140.5
